,code,name,counts
0,005930,삼성전자,14548
1,000660,SK하이닉스,7206
2,035420,NAVER,842
3,035720,카카오,12668
4,207940,삼성바이오로직스,2860
5,005935,삼성전자우,143
6,051910,LG화학,6886
7,006400,삼성SDI,2847
8,005380,현대차,13911
9,068270,셀트리온,7499
10,000270,기아,10760
11,005490,POSCO,626
12,066570,LG전자,13327
13,051900,LG생활건강,2726
14,012330,현대모비스,3110
15,028260,삼성물산,4206
16,096770,SK이노베이션,3660
17,017670,SK텔레콤,4956
18,105560,KB금융,4168
19,055550,신한지주,1184
20,034730,SK,15006
21,091990,셀트리온헬스케어,1917
22,036570,엔씨소프트,2418
23,011200,HMM,1773
24,015760,한국전력,1651
25,003550,LG,15021
26,361610,SK아이이테크놀로지,35
27,032830,삼성생명,2495
28,018260,삼성에스디에스,179
29,090430,아모레퍼시픽,4654
30,009150,삼성전기,2474
31,086790,하나금융지주,606
32,302440,SK바이오사이언스,301
33,251270,넷마블,3266
34,003670,포스코케미칼,1227
35,352820,하이브,390
36,033780,KT&G,3516
37,010950,S-Oil,1270
38,034020,두산중공업,2240
39,003490,대한항공,8486
40,000810,삼성화재,2413
41,326030,SK바이오팜,806
42,011170,롯데케미칼,2302
43,010130,고려아연,570
44,030200,KT,12693
45,009540,한국조선해양,1848
46,018880,한온시스템,783
47,034220,LG디스플레이,3006
48,316140,우리금융지주,741
49,009830,한화솔루션,1531
50,024110,기업은행,6539
51,086280,현대글로비스,2067
52,097950,CJ제일제당,5981
53,004020,현대제철,2888
54,011780,금호석유,1328
55,000720,현대건설,6394
56,032640,LG유플러스,4510
57,293490,카카오게임즈,728
58,011790,SKC,2408
59,161390,한국타이어앤테크놀로지,252
60,137310,에스디바이오센서,9
61,021240,코웨이,4175
62,247540,에코프로비엠,466
63,006800,미래에셋증권,1184
64,071050,한국금융지주,657
65,263750,펄어비스,1552
66,068760,셀트리온제약,477
67,011070,LG이노텍,2341
68,035250,강원랜드,1064
69,267250,현대중공업지주,671
70,008930,한미사이언스,275
71,002790,아모레G,361
72,271560,오리온,4912
73,088980,맥쿼리인프라,443
74,241560,두산밥캣,1107
75,139480,이마트,11195
76,383220,F&F,42
77,028050,삼성엔지니어링,1460
78,000100,유한양행,1686
79,180640,한진칼,3231
80,036490,SK머티리얼즈,697
81,096530,씨젠,1578
82,000120,CJ대한통운,3437
83,005387,현대차2우B,21
84,029780,삼성카드,2834
85,004990,롯데지주,1160
86,003410,쌍용C&E,133
87,078930,GS,11411
88,010140,삼성중공업,2309
89,128940,한미약품,2731
90,028670,팬오션,654
91,016360,삼성증권,4822
92,005830,DB손해보험,811
93,035760,CJ ENM,3080
94,020150,일진머티리얼즈,499
95,006360,GS건설,5080
96,298020,효성티앤씨,608
97,007070,GS리테일,3071
98,006280,녹십자,4637
99,112610,씨에스윈드,1053
100,008770,호텔신라,2097
101,028300,에이치엘비,2357
102,196170,알테오젠,783
103,005940,NH투자증권,5383
104,042660,대우조선해양,3195
105,019170,신풍제약,911
106,307950,현대오토에버,394
107,042670,두산인프라코어,2428
108,336260,두산퓨얼셀,887
109,036460,한국가스공사,1051
110,047810,한국항공우주,961
111,008560,메리츠증권,1917
112,272210,한화시스템,1473
113,066970,엘앤에프,352
114,145020,휴젤,1327
115,023530,롯데쇼핑,4867
116,081660,휠라홀딩스,177
117,039490,키움증권,5362
118,012750,에스원,796
119,010620,현대미포조선,1087
120,047040,대우건설,5640
121,088350,한화생명,2757
122,285130,SK케미칼,1369
123,204320,만도,1026
124,001040,CJ,14256
125,051915,LG화학우,42
126,026960,동서,5521
127,282330,BGF리테일,1296
128,000990,DB하이텍,482
129,009240,한샘,3581
130,375500,DL이앤씨,826
131,138040,메리츠금융지주,151
132,014680,한솔케미칼,426
133,030000,제일기획,1425
134,047050,포스코인터내셔널,490
135,253450,스튜디오드래곤,1220
136,058470,리노공업,168
137,010060,OCI,1171
138,005385,현대차우,38
139,002380,KCC,3211
140,357780,솔브레인,38
141,004170,신세계,12212
142,012510,더존비즈온,830
143,011210,현대위아,1168
144,000060,메리츠화재,838
145,012450,한화에어로스페이스,1113
146,011000,진원생명과학,829
147,298050,효성첨단소재,596
148,004800,효성,5827
149,064350,현대로템,2522
150,000080,하이트진로,6120
151,138930,BNK금융지주,359
152,052690,한전기술,813
153,001440,대한전선,792
154,240810,원익IPS,458
155,064760,티씨케이,232
156,000880,한화,13910
157,278280,천보,320
158,001450,현대해상,1945
159,095700,제넥신,1076
160,006260,LS,4906
161,120110,코오롱인더,925
162,003090,대웅,3943
163,294870,HDC현대산업개발,2662
164,032500,케이엠더블유,588
165,007310,오뚜기,2357
166,017800,현대엘리베이,330
167,004370,농심,3733
168,237690,에스티팜,484
169,051600,한전KPS,864
170,007390,네이처셀,681
171,069960,현대백화점,4696
172,108320,LX세미콘,16
173,001230,동국제강,1804
174,073240,금호타이어,1761
175,004000,롯데정밀화학,585
176,042700,한미반도체,795
177,010120,LS ELECTRIC,61
178,006650,대한유화,377
179,336370,솔루스첨단소재,156
180,111770,영원무역,376
181,069620,대웅제약,3520
182,000150,두산,10169
183,000240,한국앤컴퍼니,200
184,950210,프레스티지바이오파마,87
185,010780,아이에스동서,444
186,178920,PI첨단소재,77
187,000210,DL,1278
188,098460,고영,319
189,051905,LG생활건강우,22
190,048260,오스템임플란트,626
191,013890,지누스,311
192,016380,KG동부제철,400
193,248070,솔루엠,86
194,009900,명신산업,71
195,005250,녹십자홀딩스,204
196,181710,NHN,2598
197,005290,동진쎄미켐,241
198,268600,셀리버리,724
199,005850,에스엘,327
200,025900,동화기업,544
201,034230,파라다이스,1578
202,185750,종근당,2516
203,078340,컴투스,1554
204,001740,SK네트웍스,1759
205,139130,DGB금융지주,443
206,192820,코스맥스,1718
207,003000,부광약품,720
208,086900,메디톡스,2179
209,056190,에스에프에이,361
210,067160,아프리카TV,1000
211,030190,NICE평가정보,181
212,330590,롯데리츠,121
213,041510,에스엠,1375
214,200130,콜마비앤에이치,359
215,035900,JYP Ent.,378
216,175330,JB금융지주,390
217,032350,롯데관광개발,664
218,085660,차바이오텍,840
219,213420,덕산네오룩스,369
220,031430,신세계인터내셔날,1156
221,141080,레고켐바이오,481
222,039030,이오테크닉스,163
223,363280,티와이홀딩스,14
224,214150,클래시스,449
225,235980,메드팩토,441
226,060250,NHN한국사이버결제,380
227,323990,박셀바이오,152
228,066575,LG전자우,19
229,206650,유바이오로직스,306
230,005300,롯데칠성,2921
231,004490,세방전지,110
232,298000,효성화학,383
233,214320,이노션,1392
234,048410,현대바이오,608
235,161890,한국콜마,1699
236,020560,아시아나항공,5328
237,022100,포스코 ICT,579
238,005070,코스모신소재,442
239,000670,영풍,551
240,140410,메지온,472
241,300720,한일시멘트,494
242,003240,태광산업,377
243,023590,다우기술,193
244,000250,삼천당제약,299
245,036540,SFA반도체,147
246,001120,LX인터내셔널,59
247,299660,셀리드,197
248,084850,아이티엠반도체,124
249,086520,에코프로,1000
250,192080,더블유게임즈,581
251,086450,동국제약,971
252,014820,동원시스템즈,308
253,102460,이연제약,230
254,003690,코리안리,464
255,093370,후성,258
256,009420,한올바이오파마,562
257,005690,파미셀,808
258,383310,에코프로에이치엔,40
259,018670,SK가스,828
260,144510,녹십자랩셀,576
261,046890,서울반도체,981
262,039130,하나투어,1128
263,069080,웹젠,696
264,001800,오리온홀딩스,91
265,002840,미원상사,230
266,001430,세아베스틸,487
267,005880,대한해운,450
268,003520,영진약품,224
269,241590,화승엔터프라이즈,296
270,365550,ESR켄달스퀘어리츠,19
271,103140,풍산,659
272,079160,CJ CGV,1271
273,344820,KCC글라스,332
274,057050,현대홈쇼핑,2028
275,950220,네오이뮨텍(Reg.S),0
276,267270,현대건설기계,1097
277,950130,엑세스바이오,387
278,039200,오스코텍,224
279,112040,위메이드,898
280,025540,한국단자,155
281,122870,와이지엔터테인먼트,383
282,284740,쿠쿠홈시스,327
283,114090,GKL,606
284,003530,한화투자증권,2404
285,289220,자이언트스텝,47
286,194480,데브시스터즈,195
287,084370,유진테크,308
288,005440,현대그린푸드,1024
289,298380,에이비엘바이오,601
290,003850,보령제약,877
291,069260,휴켐스,280
292,001680,대상,14920
293,020000,한섬,1248
294,064960,SNT모티브,45
295,084990,헬릭스미스,1035
296,006120,SK디스커버리,286
297,079550,LIG넥스원,1735
298,151910,나노스,522
299,003540,대신증권,3883
